81,NN,504,811,1049,Geal Charn,56.897038,-4.457713
82,NH,235,437,1049,Sgurr Fuar-thuill,57.449182,-4.9430838
83,NO,208,843,1047,Carn an t-Sagairt Mor,56.943163,-3.3033973
84,NN,391,361,1047,Creag Mhor,56.489415,-4.6148522
85,NH,463,683,1046,Ben Wyvis,57.67822,-4.5791532
86,NN,377,741,1046,Chno Dearg,56.82995,-4.6615039
87,NN,409,212,1046,Cruach Ardrain,56.3563,-4.5765879
88,NO,45,792,1045,Beinn Iutharn Mhor,56.894286,-3.5692843
89,NN,585,390,1044,Meall nan Tarmachan,56.521679,-4.3016525
90,NN,169,443,1044,Stob Coire 'an Albannaich,56.554874,-4.9806708
91,NN,684,512,1041,Carn Mairg,56.634081,-4.1470639
92,NM,902,966,1040,Sgurr na Ciche,57.012704,-5.4571761
93,NN,514,397,1039,Meall Ghaordie,56.525772,-4.4173482
94,NN,344,432,1038,Beinn Achaladair,56.5515,-4.6956162
95,NN,994,951,1037,Carn a' Mhaim,57.035981,-3.6593002
96,NH,35,143,1036,Sgurr a' Bhealaich Dheirg,57.177303,-5.2524139
97,NH,39,53,1035,Gleouraich,57.096756,-5.2387439
98,NN,504,764,1034,Carn Dearg,56.854855,-4.454945
99,NN,176,650,1032,Am Bodach,56.740859,-4.9839425
100,NH,18,192,1032,Beinn Fhada,57.220516,-5.2843886
101,NN,287,253,1029,Ben Oss,56.388832,-4.7764656
102,NO,28,772,1029,Carn an Righ,56.875973,-3.596412
103,NN,635,500,1029,Carn Gorm,56.621905,-4.2262461
104,NG,983,65,1027,Sgurr a' Mhaoraich,57.105097,-5.331977
105,NG,984,149,1027,Sgurr na Ciste Duibhe,57.180471,-5.33711
106,NN,386,322,1025,Ben Challum,56.454243,-4.6205492
107,NN,56,558,1024,Sgorr Dhearg (Beinn a' Bheithir),56.65349,-5.1728596
108,NG,912,577,1023,Mullach an Rathain (Liathach),57.561002,-5.4923096
109,NH,50,83,1021,Aonach air Chrith,57.12413,-5.2229561
110,NN,222,542,1021,Buachaille Etive Mor,56.645736,-4.9013718
111,NG,823,39,1020,Ladhar Bheinn,57.074496,-5.5933312
112,NN,516,717,1019,Beinn Bheoil,56.813056,-4.4325478
113,NO,174,804,1019,Carn an Tuirc,56.907543,-3.3579908
114,NN,883,927,1019,Mullach Clach a' Bhlair,57.011877,-3.8410362
115,NH,52,735,1018,Mullach Coire Mhic Fhearchair,57.708942,-5.2714419
116,NM,909,961,1013,Garbh Chioch Mhor,57.008539,-5.4452553
117,NO,222,825,1012,Cairn Bannoch,56.927235,-3.2798389
118,NN,255,84,1011,Ben Ime,56.236013,-4.8170373
119,NN,579,739,1011,Beinn Udlamain,56.834771,-4.3306736
120,NG,951,611,1010,Beinn Eighe (Ruadh-stac Mor),57.593272,-5.4301154
121,NG,936,131,1010,The Saddle,57.162196,-5.4148769
122,NH,15,99,1010,Sgurr an Doire Leathain,57.136982,-5.2819386
123,NN,230,657,1010,Sgurr Eilde Mor,56.74922,-4.8962632
124,NN,852,777,1008,Beinn Dearg,56.876439,-3.8852428
125,NH,135,458,1007,Maoile Lunndaidh,57.46402,-5.1110655
126,NN,933,836,1006,An Sgarsoch,56.931351,-3.7548964
127,NN,472,903,1006,Carn Liath,56.978561,-4.5157492
128,NH,115,282,1005,Beinn Fhionnlaidh,57.305336,-5.1308563
129,NN,331,408,1004,Beinn an Dothaidh,56.529503,-4.7151951
130,NN,976,951,1004,The Devil's Point,57.035585,-3.6889457
131,NH,5,104,1004,Sgurr an Lochain,57.141033,-5.2988323
132,NM,965,980,1003,Sgurr Mor,57.028079,-5.3547477
133,NH,133,154,1002,Sail Chaorainn,57.191263,-5.0913888
134,NG,977,158,1002,Sgurr na Carnach,57.188234,-5.3494
135,NH,49,137,1001,Aonach Mheadhoin,57.172519,-5.2288254
136,NN,674,438,1001,Meall Greigh,56.567366,-4.1595582
137,NN,40,555,1001,Sgorr Dhonuill (Beinn a' Bheithir),56.650131,-5.1986865
138,NH,158,711,999,Sgurr Breac,57.691885,-5.0919861
139,NH,76,446,999,Sgurr Choinnich,57.450795,-5.208316
140,NN,147,654,999,Stob Ban,56.743304,-5.0315735
141,NC,318,201,998,Ben More Assynt,58.137726,-4.8586846
142,NO,240,815,998,Broad Cairn,56.918553,-3.2499735
143,NN,94,308,998,Stob Diamh,56.430785,-5.0926196
144,NH,136,714,997,A' Chailleach,57.693669,-5.1290651
145,NN,153,429,997,Glas Bheinn Mhor,56.541688,-5.0056662
146,NH,66,43,996,Spidean Mialach,57.08893,-5.1934811
147,NN,378,193,995,An Caisteal,56.338195,-4.6255291
148,NN,904,842,994,Carn an Fhidhleir,56.93606,-3.8027821
149,NN,111,518,994,Sgor na h-Ulaidh,56.619859,-5.0803589
150,NG,966,597,993,Spidean Coire nan Clach (Beinn Eighe),57.581397,-5.4038937
